SId,CId,Marks
38469,94,35
87018,34,66
26462,88,65
529,21,69
57818,64,90
16181,79,41
38009,37,40
38398,29,61
15712,58,47
74197,54,100
59581,25,91
24139,59,98
70874,14,63
14731,30,81
64593,94,55
48484,29,61
22350,67,59
47116,96,90
43612,4,74
15746,73,43
44461,85,88
64721,24,84
58193,5,44
6134,95,75
77747,17,50
71157,72,66
64320,63,73
30201,67,45
49978,81,49
17009,38,44
51559,9,41
5926,29,48
26353,33,48
43300,24,97
17825,84,95
33306,8,66
14565,40,45
78849,93,65
10800,87,65
67177,25,63
33251,98,66
68714,79,59
41162,43,92
73424,1,94
54027,61,61
34453,53,88
28611,22,91
49607,82,55
72220,63,41
73214,94,95
28301,19,35
73215,46,77
77981,93,44
9645,52,37
3987,73,43
76163,100,90
43192,37,78
16670,80,44
22646,44,84
89244,20,47
49250,15,66
42225,15,82
60338,97,93
35714,33,42
495,92,73
79376,90,72
42703,85,70
64282,55,78
55491,8,66
42807,17,62
13831,80,47
12606,17,95
15597,18,53
3514,79,75
82999,82,83
70706,96,54
62501,63,70
70828,4,78
30589,33,99
68633,74,88
50846,32,76
56285,81,84
84274,18,43
34036,82,50
3316,24,70
58047,31,53
53554,46,76
75529,73,80
31,35,54
6857,14,55
63024,23,100
79004,84,35
46931,18,55
79738,1,56
25243,92,63
53142,98,59
37601,77,46
10965,20,84
5740,20,51
72780,35,65
7531,44,65
30600,73,70
73019,64,56
41609,29,69
70888,18,91
49092,24,87
1362,37,52
783,79,63
66368,88,52
30107,14,79
2817,18,85
45378,100,51
24281,74,45
84701,14,55
51044,65,55
65671,14,49
486,28,85
44057,14,59
33695,69,55
28125,91,45
27882,94,84
39331,16,73
38451,3,50
2731,4,84
63893,75,91
83574,70,36
84650,50,78
29791,8,66
22224,13,69
36132,55,71
50097,23,47
42579,90,46
12237,65,63
88482,24,75
13661,88,60
56506,19,46
12427,50,84
36079,65,57
73003,88,80
74566,96,98
29470,79,35
39838,52,38
5657,71,41
25528,42,55
48400,54,56
18462,12,76
25544,8,78
74631,87,98
29794,16,80
71239,98,63
65835,78,43
18014,40,59
85323,95,62
88905,53,47
45962,33,35
76442,45,79
9710,48,77
43818,38,89
2758,11,83
6358,75,86
86949,10,55
66914,57,43
35936,17,79
5061,67,39
60124,70,78
78816,48,35
14195,78,78
72804,17,68
65451,40,92
72186,8,63
87486,70,78
70612,86,84
71956,14,90
74281,28,62
77116,67,54
29497,59,86
88761,39,65
907,68,100
23183,59,92
16449,43,69
16527,39,86
65352,34,75
85462,84,52
56038,43,41
10646,58,38
82429,38,73
79547,41,39
69475,78,91
37260,95,43
28708,53,68
29571,53,44
55533,32,87
40203,95,64
88711,68,42
48056,87,77
57335,94,72
78855,60,54
72138,100,91
6052,55,60
21206,86,76
64906,36,71
77007,21,49
45258,77,77
61716,45,70
82780,5,69
33816,2,72
17912,68,47
33630,12,82
27717,51,98
25341,15,57
23821,25,40
21165,4,72
11143,5,44
50338,26,47
13710,25,68
36238,93,69
44773,14,83
85447,79,77
24846,51,99
60580,65,69
82118,99,55
74065,52,45
10806,80,49
13438,21,76
63347,49,62
16922,57,79
51552,89,68
43726,63,37
14327,35,79
39736,9,55
86056,12,69
80621,74,48
33174,25,42
5970,46,92
42208,96,51
57500,28,39
43650,25,71
77888,90,38
713,9,72
16307,94,57
40761,78,48
9563,77,60
38645,85,54
55784,5,52
846,81,65
22467,81,66
60711,98,61
67974,44,64
17913,6,96
77667,76,61
27742,81,100
82388,72,98
26065,74,76
24579,100,75
64543,48,100
85903,16,46
71772,3,72
77557,79,48
28407,6,96
38912,87,95
84432,99,41
7359,43,43
37368,22,82
81591,35,86
59430,8,43
72991,28,62
9730,80,88
62817,10,77
33335,59,97
18454,6,35
62854,14,56
83760,80,71
853,75,47
41315,72,73
34404,62,79
20107,70,67
21125,83,53
82446,39,93
16864,67,35
63011,33,84
84731,82,35
30404,91,54
9465,100,76
69006,78,53
85650,15,68
49024,27,63
48286,86,45
40493,17,76
74403,21,79
75262,35,59
11987,63,68
49320,55,42
16971,76,77
62101,98,46
88966,93,77
13832,25,60
76221,27,92
20894,78,48
88133,39,78
65623,5,93
4746,22,53
56187,79,89
36356,59,84
41307,65,80
34973,43,77
84854,34,99
10809,91,99
41619,89,96
1392,88,54
76179,93,89
57623,82,47
5108,63,89
51045,78,42
46377,25,47
78941,15,66
48882,67,48
22927,69,70
27718,83,58
6012,45,86
51789,64,45
26486,49,89
58122,4,69
16605,14,80
3965,87,51
12158,53,84
33849,14,48
47919,3,95
64588,50,57
86680,63,94
74223,56,59
14048,60,36
42574,82,59
3225,35,62
28207,25,82
76208,49,74
36924,7,99
65144,35,74
71918,18,58
89809,30,79
80969,71,99
22006,37,83
30927,13,79
17571,27,38
38394,8,37
38401,4,85
6216,81,69
68590,75,39
68718,55,36
73821,63,54
50789,58,43
52104,44,84
84083,51,58
46748,9,90
37113,83,63
60431,78,72
67653,73,80
5757,37,54
70029,44,47
45551,67,76
7132,83,48
38307,21,75
3280,70,50
67363,90,81
78053,78,68
51641,59,92
48481,22,97
42967,93,51
10309,99,51
57700,36,68
75117,35,43
58951,30,46
63967,19,80
24829,76,50
89123,55,53
19912,49,36
64798,81,51
26356,92,55
69430,44,89
48224,93,75
52058,53,47
11701,41,96
12335,59,87
60707,62,42
4012,24,78
72107,67,62
57931,74,60
55726,2,35
77291,83,47
65989,1,94
53807,97,42
40659,68,38
74083,40,60
74539,35,60
3225,8,78
47122,49,50
21695,5,50
77349,38,89
28026,49,50
49091,81,81
66182,46,48
59392,50,57
86718,99,88
11077,65,94
64033,98,50
15500,25,79
47355,43,65
58945,36,60
3972,86,82
37329,89,83
51121,70,89
63287,71,84
59494,92,99
53084,87,93
39716,85,36
83303,18,76
64568,59,69
75728,30,62
51691,92,67
32528,100,51
61865,32,39
64394,86,100
52705,65,98
68108,61,81
88438,91,58
80404,70,52
6401,88,74
68554,71,36
47503,60,42
3358,93,49
28789,70,59
72466,47,49
17543,32,99
17522,12,45
89979,15,88
85080,72,72
79707,17,98
42664,69,46
14992,84,59
7499,74,53
38822,72,66
8663,21,92
89948,31,91
9027,69,77
1629,25,93
24727,20,53
35937,27,61
4017,71,82
55392,31,99
14534,25,68
26036,22,53
2297,7,56
4527,57,88
4097,60,68
31428,27,81
89674,62,86
21606,15,95
48788,28,63
30197,64,50
79031,95,86
65092,68,67
17245,65,46
61208,54,56
27377,87,61
51532,27,50
50905,12,35
13450,42,41
20454,72,100
45189,19,86
87028,67,40
16838,98,83
50129,17,80
48622,18,41
27086,21,80
80956,30,93
12808,100,90
6594,11,99
69374,97,95
43188,80,100
30027,4,68
28277,97,67
41269,13,47
553,23,79
19114,94,79
35930,98,85
22578,36,83
71639,66,94
83839,88,88
32883,86,51
75234,67,100
21789,3,72
40397,29,99
1081,26,39
45696,10,69
18862,34,66
43858,25,78
61768,87,42
18687,17,70
52281,84,46
86611,19,67
83304,76,80
64298,52,37
32494,22,36
64040,74,79
37931,41,70
2310,24,66
23503,86,47
16606,11,70
50035,18,57
39344,7,69
40167,32,94
66918,100,84
21896,68,62
53276,20,82
9575,40,46
4272,33,37
59321,43,95
68223,99,63
54935,11,66
48660,67,95
69036,92,88
34399,27,86
72897,71,67
76233,56,52
66741,62,91
39240,47,37
86518,39,37
55040,8,51
46573,40,42
48873,33,70
50576,21,73
86440,95,64
38684,13,96
79716,80,40
60035,81,36
75028,58,69
34273,67,39
45674,27,38
66455,25,65
24785,81,74
40721,74,71
6136,24,82
69784,100,39
68405,5,47
70549,5,47
19073,20,51
35245,5,44
56498,99,88
85537,39,64
84036,58,67
24212,25,62
57850,16,42
84167,32,52
736,84,58
29728,92,53
58181,46,86
3704,22,35
87231,29,76
14276,72,67
78353,68,75
37681,50,74
45327,60,52
86877,40,86
59211,14,97
13193,4,64
30435,22,47
22819,25,100
69152,7,45
26947,17,100
75600,47,97
50602,94,57
20968,96,65
56255,83,59
68344,10,38
61363,68,99
38120,3,85
49999,21,90
32811,69,68
42296,36,71
38232,29,40
16312,35,64
32791,91,71
85547,31,50
51261,35,80
67098,21,54
87122,90,70
24227,34,100
85734,16,66
31630,38,39
54942,17,44
7718,8,47
67359,81,47
14541,17,47
41923,30,39
20091,81,71
49946,15,98
57736,43,80
69793,37,80
49197,25,43
57980,47,94
14475,82,59
9787,64,51
34426,45,90
37231,15,79
23631,20,49
75240,26,43
17078,17,72
47534,53,85
69636,72,44
67364,88,85
66626,40,74
63969,82,39
77318,26,46
16384,51,38
37919,98,57
3122,70,38
10135,20,100
25521,65,41
36948,93,49
63635,50,87
43867,19,62
15366,95,49
78828,96,73
35109,57,39
17643,5,35
42841,53,100
71249,33,78
89701,28,98
79652,61,85
17412,15,59
84065,7,67
28884,21,72
64248,20,51
14559,1,63
9791,59,52
34468,27,91
72452,85,77
35074,34,53
52889,31,40
34324,73,59
52317,28,80
30380,1,35
87637,22,56
49388,82,60
1191,52,86
63519,81,93
43679,44,87
46486,51,58
22536,65,67
2449,46,76
16232,25,47
82919,4,50
62137,66,64
12366,37,56
32830,13,39
20665,64,89
43337,72,43
39647,17,100
61073,71,69
26994,97,88
88195,23,56
18963,69,48
78967,29,61
2686,78,46
38055,41,56
32126,77,63
28172,1,85
7437,2,52
31206,75,88
69453,81,40
24190,60,36
5633,96,88
11544,75,91
24392,39,82
50048,60,55
71237,88,60
67437,31,58
79940,74,75
19759,10,51
31224,69,74
44832,99,96
8250,32,58
73489,59,87
63452,44,68
72528,7,67
16464,23,53
43996,88,74
23380,89,98
45411,74,72
76450,69,36
17021,66,97
78206,41,59
58980,83,61
39200,35,65
39468,58,58
4369,59,91
69214,2,59
530,32,51
35306,15,88
35539,7,39
11131,40,66
60272,56,87
17423,49,39
54763,41,65
83595,43,35
46574,41,36
70005,21,99
41056,65,82
76575,83,85
50505,56,46
62986,58,93
65616,16,94
31260,55,87
78309,36,100
60287,50,41
85771,61,62
88650,39,93
77601,88,66
24094,7,89
25948,81,39
82941,33,55
83131,16,43
32832,5,68
75511,1,86
76388,60,48
40435,82,40
12007,82,100
56453,36,82
42769,56,53
31297,3,55
76122,89,42
54443,53,66
45593,22,46
1438,83,69
12058,72,59
28962,29,49
4312,63,86
29367,48,42
35456,26,70
53846,37,45
79142,9,85
71500,22,88
42008,85,92
13576,74,67
54744,89,90
75,42,88
3594,21,71
19197,54,42
21438,68,43
30760,64,83
77362,67,74
87683,85,64
16852,17,69
82139,54,70
55260,10,87
85823,90,93
9022,40,99
71459,28,38
8533,99,41
12991,96,35
62723,84,99
30663,76,40
36806,39,80
35124,28,41
59626,19,83
39904,69,94
56534,6,37
48776,7,95
16649,70,74
78413,55,48
78703,36,58
44073,34,55
3951,38,37
8162,55,40
36394,27,93
87865,83,84
63977,16,44
38989,62,97
63588,4,64
32487,9,45
18529,12,90
3819,84,100
56860,26,69
42553,17,53
79105,22,58
21869,17,46
26600,50,59
26077,85,49
45783,31,88
51942,46,100
70563,45,60
44959,53,62
85531,8,46
1208,61,58
7305,70,78
12881,69,48
41715,2,53
60582,79,88
36450,47,65
45549,70,82
88230,9,35
29867,51,42
60270,11,83
61044,48,51
12217,40,53
86142,54,55
13945,56,58
65123,2,97
34101,85,44
3006,44,82
44914,81,96
66610,56,70
75926,19,78
66424,24,79
81459,3,94
25205,25,41
85535,22,88
23755,48,99
42314,53,83
44182,95,61
8902,82,83
83363,11,97
84008,72,59
72770,7,67
47011,41,92
8478,42,81
6958,14,45
19077,64,49
75636,91,82
9102,26,50
13378,82,98
11009,32,84
17342,6,59
64622,26,72
83025,57,81
6218,87,41
79723,97,82
82657,81,88
71412,57,65
35366,100,41
59928,91,36
72386,50,87
9955,77,77
12734,79,58
42869,68,43
47579,94,85
64551,65,58
71147,15,54
58170,95,94
21600,5,43
16102,98,67
36878,63,87
71862,39,99
46075,48,75
52565,8,81
13933,8,37
11494,33,78
46248,3,71
69933,37,54
12708,44,63
79272,21,71
26728,87,80
47987,38,85
88333,49,35
70291,58,98
62820,11,35
15247,92,61
32786,35,42
83498,85,63
19682,71,85
34282,87,98
84939,41,38
60623,32,59
61494,63,82
46939,2,84
33790,88,67
6749,48,69
29839,45,78
6696,88,72
41753,29,42
54459,1,36
7363,94,49
49338,4,95
26878,99,88
62977,11,80
79017,21,83
77197,92,93
89226,44,77
10431,22,98
32592,48,48
45870,47,42
48890,36,53
89965,66,60
64580,68,98
87211,46,99
76901,49,50
1603,1,100
5240,67,52
12528,59,72
23476,71,55
48289,100,84
47274,80,44
25059,91,81
28697,45,90
41663,7,82
25587,43,85
49391,28,38
30453,13,87
21915,51,40
41613,98,52
31768,39,52
32719,54,53
86553,56,92
27109,34,66
58399,51,88
38480,59,86
82286,52,43
10683,90,70
58221,78,39
26083,100,97
8118,1,81
24934,94,63
56276,73,94
45121,76,51
61705,77,79
30883,10,61
12592,14,59
2809,82,80
9525,22,86
55748,32,73
68420,70,69
69122,82,69
59789,91,35
81881,40,82
58875,30,96
35026,66,52
18477,96,57
56663,41,87
87873,13,57
34445,36,98
50550,100,87
55907,96,88
9243,43,49
7658,62,89
22976,91,73
49595,19,36
29728,78,58
21770,88,92
75356,48,49
45812,88,95
40752,1,39
71377,13,76
59915,34,77
23425,12,98
24252,11,69
28410,26,80
70826,7,86
49650,55,87
84440,88,71
4065,90,66
40522,48,100
5326,12,41
22591,13,80
14191,37,72
66369,72,36
87843,6,62
59051,19,74
53986,28,72
63418,94,85
40431,37,77
27567,41,90
44795,68,82
14137,31,100
4589,63,100
43667,85,48
13860,68,98
58182,59,47
52692,27,94
83368,41,66
67260,22,90
63212,1,50
25074,67,55
39447,20,54
39633,62,99
40942,81,40
27877,14,61
5151,18,55
6650,23,62
622,50,65
29016,49,54
82340,61,53
78262,59,57
24894,70,64
48358,5,80
8214,63,72
43674,30,54
86768,47,41
23294,79,80
51227,2,48
83094,90,87
39184,86,73
86249,76,55
1420,91,76
42779,47,41
12839,70,97
56436,75,64
24641,83,63
61230,82,93
64528,100,88
16380,60,70
42973,64,89
1290,90,61
60830,12,69
4950,96,84
31912,3,42
5713,42,75
77260,62,58
31288,32,89
19130,45,76
59521,67,71
70265,86,86
24175,57,55
27720,30,91
72599,19,67
47709,6,39
33207,9,75
19586,79,75
78152,58,73
28329,24,59
2891,66,77
9795,23,39
71682,70,72
52506,75,97
17448,38,93
14665,12,61
84387,24,83
89666,73,49
21452,100,48
89368,40,54
47866,68,78
41999,89,79
59373,15,35
59023,82,63
75659,55,77
77321,6,84
63503,8,53
80532,35,76
3381,67,54
79384,58,63
76415,18,94
54441,24,46
30405,6,62
3646,42,86
34679,46,77
82358,11,54
19318,4,61
58480,57,41
75020,95,45
46567,64,35
30812,76,95
47505,11,94
17177,86,58
10588,52,84
75496,59,100
71613,95,68
78449,27,45
86037,98,89
19242,25,63
77442,15,83
21751,89,91
83257,85,59
44684,46,51
28352,54,73
61590,100,60
80204,17,74
75095,32,96
38247,49,48
24264,95,95
5991,37,55
7599,99,74
12000,91,45
73569,66,74
9366,90,63
71151,20,83
66882,9,77
26114,49,64
42259,83,57
72690,85,96
27752,7,94
54258,49,86
15436,70,47
81780,99,67
30754,91,85
4704,2,38
43818,5,81
6493,76,62
69810,15,58
7333,62,77
7106,90,94
44772,71,91
20613,76,86
16586,80,76
30767,59,96
56841,38,48
14782,39,63
31020,90,84
46965,82,92
51824,12,72
40203,79,37
26027,30,42
1007,27,87
5803,89,63
11807,18,48
3813,4,43
13545,82,94
17962,92,42
89735,42,72
55978,100,82
54157,46,88
11703,34,42
64734,14,87
83599,89,43
78178,11,89
11206,10,49
73169,64,57
30540,55,66
48326,98,90
13193,92,57
18905,66,40
77697,92,67
27443,84,76
13465,22,40
61565,78,61
10355,82,75
22662,87,55
61112,58,84
68126,24,75
89504,81,97
32442,35,86
4322,99,85
64300,17,89
62234,28,72
28289,95,61
56504,94,81
23026,75,83
76760,32,50
43811,51,40
10314,6,62
53796,68,36
18715,14,63
9608,50,43
67916,54,62
80433,28,91
58258,18,48
70633,16,79
44847,90,96
37990,40,57
19095,59,63
18763,23,56
22600,9,44
15933,57,84
49451,41,78
47326,47,45
48593,12,100
15372,61,45
7577,71,81
46756,95,43
63716,85,91
65062,90,98
42216,77,62
22923,22,56
32319,74,35
38627,24,41
79562,48,100
33785,83,77
89224,92,36
11184,96,70
49649,85,39
64510,3,91
64695,67,64
88321,34,38
14650,37,53
87196,20,96
20107,87,60
45902,50,51
13060,44,74
41177,99,82
72517,86,37
7217,42,61
8234,70,38
11468,6,75
64379,95,40
18875,70,77
51966,15,47
24994,46,54
7026,19,59
26041,88,39
61496,10,37
47644,69,69
25642,32,51
464,81,60
89172,69,56
64901,10,54
46001,73,66
60074,60,82
7923,58,79
79046,37,55
11306,73,35
54567,90,83
28395,14,63
87511,9,90
21782,13,62
20250,96,70
1605,34,68
7086,36,73
68795,59,75
18386,93,71
62148,81,73
21508,2,39
51169,75,40
43368,15,43
12820,61,83
24549,96,76
11161,88,51
24950,15,71
12188,46,90
44687,89,75
82038,50,91
81895,100,44
74955,12,100
22176,96,77
30884,94,74
48338,29,72
82295,23,43
17185,88,90
60571,26,50
24809,25,52
38854,77,79
58868,49,85
30076,72,88
25982,37,89
3038,70,39
78429,32,75
61647,100,73
42191,70,70
46646,1,46
88269,79,96
24256,50,39
79603,19,75
73260,76,59
37138,12,52
86862,90,44
58539,23,53
69410,89,45
77737,47,35
40819,51,64
82966,1,89
29666,85,37
25450,32,76
75820,78,63
18656,74,93
67089,6,43
13046,54,67
69492,46,40
85999,44,100
50535,73,84
29816,51,98
5601,34,43
38408,56,43
59981,54,64
40552,68,49
27762,18,95
16839,46,58
23022,17,38
43932,16,53
34613,26,36
67365,57,64
33949,36,97
55323,28,60
27413,83,53
77245,5,50
25644,42,89
10668,67,73
63789,95,89
15553,60,35
70314,77,93
52501,57,73
20082,16,77
23469,46,67
55784,35,88
16175,45,41
59617,72,39
37800,67,84
795,39,88
14050,21,40
70712,1,57
52742,29,86
39807,66,94
4127,66,59
82520,48,80
48758,32,67
89234,9,44
63261,20,62
6824,68,42
55876,6,95
2033,83,51
20386,72,81
18637,67,75
2687,64,64
76016,100,41
21147,39,71
75953,31,37
60355,79,48
45483,19,45
66536,28,62
14807,21,39
88055,92,39
20033,23,41
41793,99,75
16823,85,48
32286,76,40
70536,61,61
8288,43,43
81832,64,43
66551,64,87
64819,26,75
34319,63,45
55850,21,80
16489,98,94
13054,38,50
67629,28,78
7442,48,43
27441,85,75
26775,88,82
5710,11,83
52455,37,45
7216,89,87
80316,70,97
20492,20,62
30527,18,48
67984,50,85
55873,73,51
58304,4,52
71572,22,81
43499,5,90
80485,96,98
67109,98,58
81368,21,43
31089,51,41
4878,13,88
58694,50,37
13475,3,39
4013,38,78
13363,5,96
51994,10,50
12240,79,43
12985,51,58
10759,63,49
56986,28,86
18499,66,65
64466,78,86
58535,98,51
6519,66,51
4072,50,48
60782,43,37
60554,60,81
28072,79,86
58280,73,38
45208,59,72
70697,55,73
13089,98,89
81378,42,63
86057,53,59
24320,20,61
55066,35,61
65842,91,66
24957,7,87
74485,96,37
24049,50,52
75382,50,44
15946,78,61
27371,8,44
83180,75,40
45884,25,43
9238,19,92
58715,73,92
85273,6,78
50155,88,82
59074,64,92
27660,16,75
35563,26,47
61671,64,35
6324,71,95
82202,27,98
12274,85,53
55397,59,48
46986,65,88
81477,75,60
48477,79,65
3506,50,93
81279,80,41
45386,83,49
51146,59,91
23549,71,47
5152,52,80
78785,28,92
53476,84,89
66753,24,91
70721,12,94
33431,26,88
24224,21,43
77008,10,43
89179,29,82
57255,74,52
13471,84,85
81845,1,60
57329,50,49
26998,68,81
59616,83,99
86785,17,47
7808,17,92
62282,34,37
30207,25,56
55214,6,40
71566,73,70
54069,35,51
86793,39,76
25383,49,66
66285,9,51
53743,86,61
49448,25,37
9180,4,97
13066,19,53
61463,57,91
33043,19,58
79240,9,43
63938,59,65
50004,79,50
69973,41,53
71897,44,35
68591,8,60
12537,67,72
25702,38,47
20150,80,37
63616,59,62
54387,70,96
77517,62,67
35557,1,92
29251,100,72
82628,19,91
71151,24,45
58438,26,37
47910,97,85
35111,86,71
70206,58,64
87005,5,82
63421,31,74
52004,38,83
81620,36,88
12329,75,92
68851,65,79
8692,44,61
77638,94,80
53533,99,58
76779,28,59
65184,59,78
71795,56,96
14263,84,76
42962,92,37
37791,83,70
75682,29,51
45081,72,89
13804,4,73
26339,83,43
25981,31,86
71122,9,86
89444,23,51
53817,87,61
70861,95,88
10817,10,100
89556,11,82
88574,66,85
82959,87,78
22450,54,86
74372,51,45
83374,47,41
82447,37,60
48042,24,40
55180,75,96
30172,84,88
4826,13,98
78609,31,36
12739,46,51
6650,67,40
10719,36,39
5408,96,82
47519,6,89
18535,90,77
64376,64,39
13660,35,65
1418,91,77
44991,36,51
50700,50,73
53364,92,66
81353,5,66
62319,72,58
31449,18,58
27569,39,87
62325,33,76
63488,57,79
34754,37,62
53733,6,88
39769,46,57
54772,16,38
31953,31,59
66032,50,84
32570,15,61
12479,73,35
542,37,87
60902,66,92
71969,6,86
47052,95,59
50634,92,45
3072,76,82
4015,45,91
54606,55,41
2759,76,78
84627,38,93
46645,35,96
44549,68,69
64374,57,61
29185,65,78
63965,95,84
16928,14,68
73611,87,56
22506,21,82
87125,83,65
50273,81,78
43883,48,47
41021,17,35
63962,76,67
2091,52,90
65994,7,82
25587,48,56
59942,44,72
74608,98,50
80956,97,39
44330,35,94
89049,92,52
63161,70,93
79607,42,68
30576,66,98
45759,93,89
43373,32,63
21777,13,68
38355,28,44
36662,22,75
12338,95,94
84559,1,82
50299,29,81
34014,93,40
62417,45,77
21628,14,72
68732,80,85
7882,91,74
85426,90,41
71170,84,60
17569,38,99
78621,28,85
43455,88,79
56057,8,61
50530,3,65
43277,69,61
54236,85,67
55653,23,62
6160,98,96
35019,74,92
30497,46,86
49132,31,43
3555,7,82
61528,10,61
80549,97,38
2057,94,76
47719,39,48
23075,60,77
21153,14,82
5315,57,53
67397,76,49
53377,52,77
33324,62,78
8597,80,94
57833,74,71
31896,74,95
43790,97,66
75374,12,71
1317,1,70
74499,37,62
48572,67,44
85523,98,46
56612,33,46
69402,49,46
86622,30,99
3053,4,40
37545,95,42
24721,3,81
11605,96,54
22351,46,52
86182,70,76
70766,42,91
66217,47,82
69148,36,64
63173,71,53
73679,23,55
41930,81,92
33784,58,87
37053,12,87
5454,42,40
12642,30,46
27997,66,88
5908,13,61
83461,45,76
51519,47,62
40389,49,78
9602,99,69
24850,51,68
45134,85,68
87933,70,96
36435,19,86
79775,61,91
21350,10,41
10547,86,36
65333,16,76
52414,27,64
33172,22,87
3880,54,96
22082,96,94
30344,64,66
13329,31,72
47645,24,40
32567,73,86
75829,41,96
44952,78,100
20558,87,50
3264,59,40
47875,2,69
22663,27,95
82012,16,67
13858,97,35
75971,70,94
85707,18,98
85523,60,99
41157,8,99
69743,21,77
59043,75,55
25804,2,68
37285,3,74
47088,10,85
48675,79,50
68916,54,73
63018,31,91
52864,6,44
2623,41,54
85467,89,54
67425,68,73
18614,78,94
245,27,95
41611,76,89
23269,69,47
81528,26,43
30919,85,45
61646,19,48
71091,53,36
87207,98,55
42518,79,37
83417,34,41
79054,5,69
16059,41,37
41030,93,47
83912,70,97
43695,64,74
60950,11,56
12987,51,95
30287,44,52
2046,31,76
12172,48,90
66169,68,97
63016,56,38
40400,42,39
50663,78,53
42661,96,100
1932,17,47
49531,95,86
72855,79,41
10363,94,82
41994,37,39
43113,11,76
3862,10,54
87331,66,96
63091,8,52
19344,100,76
41418,23,94
23635,36,69
24524,24,68
85160,90,42
10577,85,78
84099,66,98
44883,15,94
81286,55,94
10869,81,66
33130,84,81
65694,25,94
69192,99,39
9296,72,88
86762,48,83
9626,93,94
40677,85,95
14835,36,56
74124,84,86
76426,97,46
8630,18,58
13148,99,46
47888,79,85
34642,14,89
51983,21,48
64114,14,87
16670,72,38
3233,40,91
36633,57,53
39130,92,99
66672,45,54
50400,29,63
595,26,95
48172,20,49
28382,12,75
88059,35,91
714,80,76
18243,15,51
63427,34,49
3284,47,98
64480,96,40
70956,41,56
41286,87,99
88287,28,55
62751,45,41
18404,77,65
1432,78,67
27689,22,66
39378,100,45
